service_id,date,exception_type
16,20120714,2
5,20120714,1
5,20120815,1
11,20120815,2
11,20120714,2
4,20121031,2
4,20121107,2
4,20121226,2
4,20130102,2
4,20130227,2
4,20130306,2
4,20130424,2
4,20130501,2
4,20130508,2
22,20130501,2
22,20121101,2
22,20130508,2
22,20130509,2
22,20121225,2
22,20130101,2
22,20130401,2
22,20130520,2
25,20130508,2
25,20130509,2
25,20121221,2
25,20130401,2
25,20130520,2
25,20121029,2
25,20121030,2
25,20121031,2
25,20121101,2
25,20121102,2
25,20121105,2
25,20121106,2
25,20121107,2
25,20121108,2
25,20121109,2
25,20121224,2
25,20121225,2
25,20121226,2
25,20121227,2
25,20121228,2
25,20121231,2
25,20130101,2
25,20130102,2
25,20130103,2
25,20130104,2
25,20130225,2
25,20130226,2
25,20130227,2
25,20130228,2
25,20130301,2
25,20130304,2
25,20130305,2
25,20130306,2
25,20130307,2
25,20130308,2
25,20130422,2
25,20130423,2
25,20130424,2
25,20130425,2
25,20130426,2
25,20130429,2
25,20130430,2
25,20130501,2
25,20130502,2
25,20130503,2
13,20120815,2
30,20130509,2
30,20121221,2
30,20130401,2
30,20130520,2
30,20121029,2
30,20121030,2
30,20121101,2
30,20121102,2
30,20121105,2
30,20121106,2
30,20121108,2
30,20121109,2
30,20121224,2
30,20121225,2
30,20121227,2
30,20121228,2
30,20121231,2
30,20130101,2
30,20130103,2
30,20130104,2
30,20130225,2
30,20130226,2
30,20130228,2
30,20130301,2
30,20130304,2
30,20130305,2
30,20130307,2
30,20130308,2
30,20130422,2
30,20130423,2
30,20130425,2
30,20130426,2
30,20130429,2
30,20130430,2
30,20130502,2
30,20130503,2
21,20130501,2
21,20121101,2
21,20130508,2
21,20130509,2
21,20121225,2
21,20130101,2
21,20130401,2
21,20130520,2
32,20121224,1
32,20121225,1
32,20121226,1
32,20121227,1
32,20121228,1
32,20121231,1
32,20130101,1
32,20130102,1
32,20130103,1
32,20130104,1
32,20130225,1
32,20130226,1
32,20130227,1
32,20130228,1
32,20130301,1
32,20130304,1
32,20130305,1
32,20130306,1
32,20130307,1
32,20130308,1
32,20130422,1
32,20130423,1
32,20130424,1
32,20130425,1
32,20130426,1
32,20130429,1
32,20130430,1
32,20130501,1
32,20130502,1
32,20130503,1
32,20121101,2
32,20121225,2
32,20130101,2
32,20130501,2
12,20120901,1
44,20121224,1
44,20121225,1
44,20121226,1
44,20121227,1
44,20121228,1
44,20121229,1
44,20121231,1
44,20130101,1
44,20130102,1
44,20130103,1
44,20130104,1
44,20130105,1
44,20130225,1
44,20130226,1
